TaskId,Phase,Category,Title,EstimateHours,DependsOn,Status,Assignee,Description,Notes
T089,4,StoredProc,Parts.Item_GetMaxParts read proc,1,T087,NotStarted,,Returns MaxParts per item for capacity validation on scan-in,
T090,4,StoredProc,Lots.Lot_GetCellLineQuantity (LinesideLimit cap read),1,T087,NotStarted,,Returns current cell/line on-hand qty for LinesideLimit cap enforcement,
T091,4,StoredProc,Lots.Lot_GetWipQueueByLocation read proc,1,T087,NotStarted,,FIFO WIP queue read for a location (Trim Station IN pick list),
T092,4,StoredProc,Workorder.TrimOut_Record (ProductionEvent + whole-LOT 1:1 LotMovement),3,T087,NotStarted,,"Whole-LOT 1:1 LotMovement to destination Machining line at Area resolution, NO split. Audit TrimOutRecorded. Status-row pattern",
T093,4,NamedQuery,Named Queries wrapping all Phase-4 procs,2,"T088,T089,T090,T091,T092",NotStarted,,Mutation procs (TrimOut_Record) get attributes.type=Query. Read NQs default. Run scan.ps1,
T094,4,GatewayScript,LttZplDispatcher gateway message handler,5,T087,NotStarted,,Message handler: renders LTT ZPL -> Zebra socket per B6. ASCII-only ZPL. Logs dispatch to Audit.InterfaceLog,
T095,4,Frontend,Movement Scan embedded component (cross-cutting reusable),5,T093,NotStarted,,Reused by Trim/Receiving + later phases. Calls ItemLocation_CheckEligibility before accept; enforces MaxParts + LinesideLimit. Input-only itemId param; page-scoped replies,
T096,4,Frontend,Trim Station IN top-level view (FIFO pick / scan),8,"T093,T095",NotStarted,,FIFO pick from Lot_GetWipQueueByLocation or scan; LotMovement to Trim Shop Area. Embeds Movement Scan. Routes to Phase 2 LOT Detail,
T097,4,Frontend,Trim Station OUT top-level view (whole-LOT move + weight estimate),9,"T093,T095",NotStarted,,TrimOut_Record; weight-based piece-count estimation (FDS-06-005) accept/keep -> LotAttributeChange non-blocking. Embeds Movement Scan,
T098,4,Frontend,Receiving Dock top-level view (pass-through scan),6,"T093,T095",NotStarted,,Pass-through scan; LotMovement + ReceivingScanRecorded. Embeds Movement Scan,
T099,4,Testing,Phase-4 proc test suite,4,"T088,T089,T090,T091,T092",NotStarted,,"Phase-4 gate. ~55-75 assertions: eligibility (direct  U  BOM), max-parts + lineside caps, trim-out whole-move 1:1, wip queue, movement. Split tests NOT here (Phase 5)",
T100,5,Migration,0024_arc2_phase5_machining.sql - ALTER OperationTemplate ADD RequiresSubLotSplit,2,T099,NotStarted,,"CORRECTED number 0023 (NOT 0018 - 0018 is shipped Arc-1 tooltype). Column relocated here from Phase 4. XDEP: Phase 1, Phase 2, Phase 3, Phase 4",
T101,5,Seed,Seed OperationTemplate MachiningIn + MachiningOut,1,T100,NotStarted,,Doc-fix note (NOT a build task): DM still describes RequiresSubLotSplit under Trim OUT - relocate in data model at next bump,
T102,5,Seed,Seed Audit.LogEventType (MachiningInPicked/OutCompleted/OutAutoMoved/OutSubLotSplit),1,T100,NotStarted,,,
T103,5,StoredProc,Workorder.MachiningIn_PickAndConsume (FIFO pick + BOM-driven Trim->Machining rename),4,T101,NotStarted,,ConsumptionEvent (Consumed=trim Produced=machined) + LotGenealogy Consumption edge + new machined-LOT create. Transactional. Audit MachiningInPicked. XDEP: Phase 2 RecordConsumption,
T104,5,StoredProc,Workorder.MachiningOut_AutoComplete (PLC OperationComplete -> auto-move whole LOT),3,T101,NotStarted,,ProductionEvent + auto-move whole LOT to CoupledDownstreamCellLocationId (non-sublotting lines). Audit OutCompleted + OutAutoMoved. No operator screen these lines,
T105,5,StoredProc,Workorder.MachiningOut_RecordSplit (operator-initiated N-way even split),4,T101,NotStarted,,"Fresh LTT per child via IdentifierSequence_Next, LotGenealogy Split edges, moves, child labels, parent decrement/close. Uneven adjust per FDS-05-010. PENDING UJ-03 even-split default. XDEP: Phase 2 Lot_Split",
T106,5,GatewayScript,MachiningOpCompleteWatcher (per-Cell PLC OperationComplete edge),7,T104,NotStarted,,TOPServer edge -> MachiningOut_AutoComplete (non-sublotting auto-complete),
T107,5,GatewayScript,MachiningCycleReader (optional per-Cell PLC CycleComplete),6,,NotStarted,,Optional per FRS. XDEP: TOPServer tag config (S-04),
T108,5,NamedQuery,Named Queries wrapping Phase-5 procs,2,"T103,T104,T105",NotStarted,,Mutation NQs need attributes.type=Query (status-row). Run scan.ps1,
T109,5,Frontend,Cell Selector Repeater Entity (cross-cutting embedded),4,T108,NotStarted,,Destination/cell picker reused by IN and OUT-Split screens (B12),
T110,5,Frontend,BOM-Driven Rename Confirmation Modal (cross-cutting embedded),4,T108,NotStarted,,Shows Trim->Machining 1-line BOM rename before consume-commit,
T111,5,Frontend,Machining IN view (purpose-built top-level),9,"T108,T109,T110",NotStarted,,"FIFO queue list w/ override + scan, invokes PickAndConsume",
T112,5,Frontend,"Machining OUT Split view (top-level, sublotting lines only)",9,"T108,T109",NotStarted,,"N-way even-split entry + destination-picker Flex Repeater rendering N pickers per child (B12), invokes RecordSplit",
T113,5,Testing,Phase-5 proc test suite,4,"T103,T104,T105",NotStarted,,"Phase-5 gate. ~80-110 assertions: machining-in pick+rename+consumption, auto-complete+auto-move, sub-LOT split (even+uneven), genealogy permanence, FIFO ordering",
T114,6,Migration,Migration 0025_arc2_phase6_assembly.sql - CREATE Container family + ShippingLabel + seeds,4,T113,NotStarted,,"XDEP: Phase 1-5; Phase 7 AimShipperIdPool schema must exist first (Container_Complete claims from pool). CREATE Lots.Container, ContainerTray, ContainerSerial (incl HardwareInterlockBypassed BIT DEFAULT 0 per C-9), SerializedPart, ShippingLabel (PrintedAt NULL, added per C-5). Seeds OperationTemplate assembly rows; LogEntityType Container/Tray/Serial/SerializedPart/ShippingLabel; LogEventType ContainerOpened/TrayClosed/ContainerCompleted/ContainerSerialAdded/MaterialSubstituteOverride/WorkOrderCompletionConfirmed",
T115,6,StoredProc,Lots.Container_Open,2,T114,NotStarted,,Open container against assembly station + work order; audit ContainerOpened,
T116,6,StoredProc,Lots.ContainerTray_Close (ByCount/ByWeight/ByVision),4,T114,NotStarted,,Three closure methods dispatched by @ClosureMethod; per-tray Workorder.ConsumptionEvent emit; audit TrayClosed,
T117,6,StoredProc,Lots.ContainerSerial_Add,2,T114,NotStarted,,Add serialized part scan to open container/tray; HardwareInterlockBypassed flag passthrough; audit ContainerSerialAdded,
T118,6,StoredProc,Lots.SerializedPart_Mint (IdentifierSequence_Next MESI),2,T114,NotStarted,,Mint MESI serial via IdentifierSequence_Next; insert SerializedPart. XDEP: Phase 1 IdentifierSequence_Next,
T119,6,StoredProc,Lots.Container_Complete (atomic complete + AIM claim + ShippingLabel + async print + auto-close LOT),4,"T115,T116,T117,T132,T141",NotStarted,,Atomic txn: set Complete + AimShipperIdPool_Claim + INSERT ShippingLabel PrintedAt=NULL + async ShippingLabelDispatcher + auto-close finished-good LOT. XDEP: Phase 7 AimShipperIdPool_Claim. Audit ContainerCompleted,
T120,6,StoredProc,Workorder.ConsumptionEvent_RecordWithBomCheck (UJ-09 substitute override),4,T114,NotStarted,,BOM material verification at consumption; supervisor substitute override (UJ-09) with AD elevation; audit MaterialSubstituteOverride on override. XDEP: Phase 2 RecordConsumption pattern,
T121,6,NamedQuery,Named Queries wrapping Phase-6 procs,2,"T115,T116,T117,T118,T119,T120",NotStarted,,Mutation procs get attributes.type=Query for status-row SELECT. Run scan.ps1,
T122,6,GatewayScript,AssemblyMipHandler gateway script (serialized line MIP via TOPServer),12,T121,NotStarted,,Full MIP handshake: PartSN/PartValid/DataReady/HardwareInterlockEnable/CompletionConfirmed/TrayFullFlag via TOPServer; alarms to AlarmMsg; ContainerFullFlag legacy-cutover; calls ContainerSerial_Add/SerializedPart_Mint/ContainerTray_Close. S-04 OPC tags,
T123,6,GatewayScript,NonSerializedLineHandler gateway script (PLC + OmniServer scale),10,T121,NotStarted,,PLC + OmniServer scale for ByWeight; PartDisposition/VisionPartNumber; calls ContainerTray_Close ByWeight/ByVision,
T124,6,GatewayScript,ShippingLabelDispatcher gateway script (message handler + Zebra socket),8,T121,NotStarted,,Dispatch from Container_Complete; Zebra ZPL over socket; 3x2s retry; on failure surface to Print Failure Banner. XDEP: reused by Phase 7,
T125,6,Frontend,Assembly Serialized view (top-level),10,T121,NotStarted,,MIP status surface; serial scan list; tray/container state; completion confirm,
T126,6,Frontend,Assembly Non-Serialized view (top-level),8,T121,NotStarted,,ByCount/ByWeight/ByVision closure UX; scale reading display; part disposition,
T127,6,Frontend,Confirmation Method Resolver (embedded component),4,T121,NotStarted,,Cross-cutting; reads ConfirmationMethod LocationAttribute -> Vision/Barcode/Both UX branch (UJ-17/FDS-10-013),
T128,6,Frontend,Print Failure Banner (embedded component),3,T124,NotStarted,,Cross-cutting; reused in Phase 7; subscribes to ShippingLabelDispatcher failure message; retry action,
T129,6,Frontend,Material Substitute Override Modal (embedded component),4,T121,NotStarted,,Cross-cutting; UJ-09 supervisor override; AD elevation prompt; calls ConsumptionEvent_RecordWithBomCheck override path,
T130,6,Testing,Test suite - container/tray/serial procs (open/3 close methods/add/mint),4,"T115,T116,T117,T118",NotStarted,,Container open; ByCount/ByWeight/ByVision tray close + per-tray ConsumptionEvent; serial add; MESI mint. INSERT-EXEC temp-table pattern,
T131,6,Testing,Test suite - Container_Complete + AIM claim + ShippingLabel + BOM check + MIP + auto-finish,4,"T119,T120",NotStarted,,Phase-6 gate. Complete atomicity + AIM claim + ShippingLabel PrintedAt=NULL; BOM material check pass/fail + override; MIP proc-layer; auto-finish + WorkOrderCompletionConfirmed (FDS-06-028). ~100-135 assertions across both files,
T132,7,Migration,CREATE 0026_arc2_phase7 - HoldEvent + AimShipperIdPool + AimPoolConfig + ContainerSerialHistory,4,T072,NotStarted,,"XDEP: Phase 1, Phase 2, Phase 6. CREATE Quality.HoldEvent (C-4, no longer Phase 1). AimShipperIdPool+AimPoolConfig must ship BEFORE Phase 6 Container_Complete claims - keep CREATE callable early. ContainerSerialHistory = UJ-05 update-in-place serial migration audit; structure for void-and-recreate swap. Open-event invariant via filtered unique index",
T133,7,Seed,Seed Quality.HoldTypeCode rows,1,T132,NotStarted,,"CustomerComplaint, QualityIssue, EngineeringHold, ProductionHold, ContainerHold. ASCII-only. Code-table FK for HoldEvent.HoldTypeId",
T134,7,Seed,Seed Lots.AimPoolConfig single row (S-11 defaults),1,T132,NotStarted,,"TargetBuffer=50, Topup=30, Warn=20, Crit=10. Tuned later via AimPoolConfig admin view",
T135,7,Seed,Seed Audit.LogEntityType (4) + LogEventType (10) rows,1,T132,NotStarted,,"LogEventType: HoldPlaced, HoldReleased, AimShipperIdClaimed, AimShipperIdToppedUp, AimPoolWarningAlarmFired, AimPoolCriticalAlarmFired, ContainerSerialMigrated, ShippingLabelVoided, ContainerShipped, PrintFailureSafetySweepRecovered",
T136,7,StoredProc,Quality.Hold_Place + Hold_Release,4,"T132,T133,T135,T131",NotStarted,,Open-event invariant: reject Place when open HoldEvent exists for Lot/Container. Bulk hold FDS-08-006. Container hold FDS-07-015/016 dispatches AIM PlaceOnHold/ReleaseFromHold via AimHoldHandler. Status-row. Audit HoldPlaced/HoldReleased,
T137,7,StoredProc,Quality.Hold_GetOpenByLot + Hold_GetOpenByContainer,2,"T132,T133",NotStarted,,No OUTPUT; empty set = no open hold. Resolved-name FK sub-objects,
T138,7,StoredProc,Lots.Container_Ship,4,"T132,T135,T131",NotStarted,,Validate Complete + AIM-assigned + not-shipped + no open hold before ship. Audit ContainerShipped. Status-row,
T139,7,StoredProc,Lots.ShippingLabel_Void + ShippingLabel_Reprint,3,"T132,T135,T131",NotStarted,,Reads/voids/reprints Lots.ShippingLabel (CREATEd in Phase 6 per C-5 - Phase 7 does NOT create it). Audit ShippingLabelVoided. Status-row,
T140,7,StoredProc,Lots.SortCage_MigrateSerial + ContainerSerialHistory writeback,4,"T132,T135,T131",NotStarted,,"UJ-05 update-in-place: write old->new serial pair to ContainerSerialHistory, void old shipping label, structure so void-and-recreate variant swaps without rebuild. Audit ContainerSerialMigrated. Status-row",
T141,7,StoredProc,Lots.AimShipperIdPool_Claim + AimShipperIdPool_Topup,4,"T132,T134,T135",NotStarted,,"Claim = FIFO with READPAST; hard-fail on empty pool per FDS-07-010a (OI-33) - no silent fallback. Topup inserts fetched IDs, audit AimShipperIdToppedUp. Claim audits AimShipperIdClaimed. Status-row. Consumed by Phase 6 Container_Complete",
T142,7,StoredProc,Lots.AimShipperIdPool_GetDepth + GetByContainer,2,"T132,T134",NotStarted,,GetDepth -> available count for alarm monitor + wallboard. GetByContainer resolves claimed ID. No OUTPUT,
T143,7,StoredProc,Lots.AimPoolConfig_Get + AimPoolConfig_Update,2,"T132,T134",NotStarted,,Get returns single config row. Update is status-row mutation; audit via AimPoolConfig entity type,
T144,7,NamedQuery,Named Queries wrapping all Phase-7 procs,3,"T136,T137,T138,T139,T140,T141,T142,T143",NotStarted,,Mutation procs need attributes.type=Query (status-row JDBC). Run scan.ps1 after,
T145,7,GatewayScript,AimPoolTopup gateway timer (30s AIM GetNextNumber),6,T144,NotStarted,,"30s timer. Fetch AIM shipper IDs via HTTP/SOAP GetNextNumber when depth < TargetBuffer, call Topup. Log to Audit.InterfaceLog. Honors AimPoolConfig thresholds. B17 async",
T146,7,GatewayScript,AimPoolAlarmMonitor gateway timer (60s warn/crit/exhausted),5,T144,NotStarted,,60s timer. GetDepth vs Warn/Crit; fire Warning/Critical/exhausted alarms. Audit alarm-fired events,
T147,7,GatewayScript,AimHoldHandler message handler (AIM PlaceOnHold/ReleaseFromHold),6,T144,NotStarted,,Dispatched by Hold_Place/Release for container holds (FDS-07-015/016). AIM PlaceOnHold/ReleaseFromHold; log Audit.InterfaceLog. FDS-01-014 async,
T148,7,GatewayScript,AimUpdateHandler message handler (AIM UpdateAim re-sort),6,T144,NotStarted,,Sort-cage re-sort serial migration (UJ-05). AIM UpdateAim to remap shipper assignment after serial replacement. Log Audit.InterfaceLog,
T149,7,GatewayScript,PrintFailureSafetySweep gateway timer (5-min orphan recovery),6,T144,NotStarted,,5-min timer. Recover orphaned print failures; alarm when >5 stranded. Audit PrintFailureSafetySweepRecovered (FDS-07-006b),
T150,7,GatewayScript,PrintFailureBroadcaster gateway timer (5s per-terminal banner),5,T144,NotStarted,,5s timer. Broadcast per-terminal print-failure banner via session-filter (FDS-07-006b). Feeds Print Failure Banner. XDEP: Phase 6 print-failure source,
T151,7,Frontend,Hold Management top-level view,10,T144,NotStarted,,"Active-hold + container-hold lists, place/release, bulk hold (FDS-08-006), row-click nav to LOT Detail. onSelectionChange. XDEP: Phase 6 LOT Detail nav target (actually Phase 2)",
T152,7,Frontend,Sort Cage Workflow top-level view,10,T144,NotStarted,,Unpack->inspect->re-pack; serial replacement via SortCage_MigrateSerial; print new LTT + shipping labels; void old; trigger AimUpdateHandler. Multi-step state machine in view.custom,
T153,7,Frontend,Shipping Dock top-level view,8,T144,NotStarted,,Scan shipping label -> validate via Container_Ship preconditions -> confirm ship. Scan-driven,
T154,7,Frontend,AIM Pool Configuration admin view (S-11 tuning),6,T144,NotStarted,,Admin-only edit of AimPoolConfig single row via Config_Get/Update. editDraft/selected + dirty + ConfirmUnsaved. Pre-shape editDraft with every bound field,
T155,7,Frontend,AIM Pool Wallboard Tile embedded component,4,T144,NotStarted,,"Cross-cutting tile: pool depth via GetDepth, warn/crit color states vs config thresholds",
T156,7,Frontend,Print Failure Banner (reused from Phase 6),3,T150,NotStarted,,Wire Phase-6 Print Failure Banner to PrintFailureBroadcaster session-filtered messages,
T157,7,Testing,Phase 7 SQL test suite,4,"T136,T137,T138,T139,T140,T141,T142,T143",NotStarted,,"Phase-7 gate. ~90-120 assertions. Hold place/release/bulk + open-event invariant, container ship validation, label void/reprint, sort-cage migration + history, AIM pool claim FIFO READPAST + hard-fail-empty (FDS-07-010a), topup, depth/alarms, config CRUD",
T158,8,Migration,0027_arc2_phase8_downtime_shift.sql - CREATE Oee.DowntimeEvent + LogEventType seeds,3,T048,NotStarted,,CORRECTED number 0026 (not 0021). XDEP: Phase 1. Per C-4 Phase 8 OWNS the CREATE of Oee.DowntimeEvent (does not exist yet). One-open-per-machine invariant via filtered unique index WHERE EndedAt IS NULL. Nullable ReasonCodeId for late binding. Seed LogEventType: DowntimeStarted/DowntimeEnded/DowntimeReasonAssigned/EndOfShiftSubmitted/ShiftHandoverAcknowledged. Oee.Shift exists from Arc-1 0009 - NO Shift CREATE,
T159,8,StoredProc,Oee.DowntimeEvent_Start + DowntimeEvent_End,2,T158,NotStarted,,"Start: nullable reason, enforces open-event invariant (refuse second open). End: closes open event, computes duration. Status-row procs -> NQ type=Query",
T160,8,StoredProc,Oee.DowntimeReasonCode_Assign (late-binding no-overwrite),1,T158,NotStarted,,FDS-09-005 late-binding to existing (possibly closed) DowntimeEvent. Refuses overwrite of assigned reason. Audit DowntimeReasonAssigned,
T161,8,StoredProc,Oee.EndOfShiftEntry_Submit (single-submission),4,T158,NotStarted,,FDS-09-013 single submit per shift (refuse second). Toggle-per-break; durations from shift schedule (Oee.Shift). Writes DowntimeEvent rows. Audit EndOfShiftSubmitted,
T162,8,StoredProc,Oee.Shift_GetEndOfShiftSummary (handover read),2,T158,NotStarted,,"FDS-09-015: open downtime, active pauses, in-process LOTs at shift end. No OUTPUT. Shift_End leaves open events open per UJ-10 Option D / OI-03",
T163,8,Seed,Invoke S-02 downtime reason code bulk-load (353-row CSV),2,T158,NotStarted,,Bulk-load proc shipped Arc-1; invoke once Area mapping locks. Source reference/seed_data downtime_reason_codes. XDEP: Area->ReasonType mapping (FDS-09-005). ASCII byte-scan before apply,
T164,8,NamedQuery,Phase-8 Named Query wrappers,2,"T159,T160,T161,T162",NotStarted,,"Wraps DowntimeEvent_Start/End, ReasonCode_Assign, EndOfShiftEntry_Submit, Shift_GetEndOfShiftSummary + reason-code list filtered by Area+ReasonType. Mutation procs -> attributes.type=Query. Run scan.ps1",
T165,8,GatewayScript,DowntimePlcWatcher (per-machine PLC stop/run edge),7,T159,NotStarted,,TOPServer OPC stop/run edges. Stop edge -> DowntimeEvent_Start (NULL reason); run edge -> DowntimeEvent_End. Edge-detect/debounce; log Audit.InterfaceLog. S-04 OPC tags,
T166,8,GatewayScript,EndOfShiftWindowTrigger (Perspective view-side timer),5,T162,NotStarted,,View-side timer opens/prompts End-of-Shift entry within shift-end window from Oee.Shift schedule,
T167,8,Frontend,Downtime Entry view (manual),8,T164,NotStarted,,Machine auto-pop from station context. Reason dropdown filtered by Area + ReasonType (FDS-09-005). Start/End + late reason assign. Pre-declare bound custom props,
T168,8,Frontend,End-of-Shift Time Entry view (toggle-per-break),8,T164,NotStarted,,FDS-09-013 single-submission UI. One toggle per break; durations from schedule. Submit -> EndOfShiftEntry_Submit. Lock after submit. ConfirmUnsaved on close if dirty,
T169,8,Frontend,Shift-end Summary view (read-only handover),6,T164,NotStarted,,"FDS-09-015: open downtime, active pauses, in-process LOTs from Shift_GetEndOfShiftSummary. Acknowledge -> Audit ShiftHandoverAcknowledged",
T170,8,Frontend,Supervisor Dashboard view (5 tiles),10,T164,NotStarted,,"Tiles: DowntimeOpenSummary, PausedLotsSummary, ShiftAvailabilityTile, AimPoolWallboardTile, PrintFailureStrandedTile. Each bound to its read NQ. Pre-declare every bound custom prop",
T171,8,Testing,Phase-8 SQL test suite,4,"T159,T160,T161,T162",NotStarted,,"Phase-8 gate. ~60-80 assertions: downtime start/end + open-event invariant, reason late-assign + no-overwrite, end-of-shift single submit (+ second-submit refusal), shift-end summary, reason filtering Area+ReasonType, shift availability derivation, Shift_End leaves open events open (UJ-10 Option D)",
T172,9,Migration,CREATE Quality.QualitySample + QualityResult + QualityAttachment (migration 0028),3,T048,NotStarted,,"IN-SCOPE (confirmed 2026-06-08, G-1): inspection recording FDS-08-011/012/013. Runtime-captured tables specified in Data Model section 5. CREATE QualitySample (LotId, QualitySpecVersionId, InspectionResultCodeId, SampledByUserId, SampledAt), QualityResult (per-attribute MeasuredValue/NumericValue/IsPass), QualityAttachment (file metadata). XDEP: Phase 1 (Lot) + Arc-1 QualitySpec tables.",
T173,9,StoredProc,Inspection recording procs (Sample_Record + GetByLot + Result writers + attachment metadata),4,T172,NotStarted,,"QualitySample_Record (header + per-attribute results + overall pass/fail + log), QualitySample_GetByLot, attachment metadata writer. Failed inspection = alert only, no auto-hold (FDS-08-012). Status-row pattern",
T174,9,NamedQuery,Wrap inspection procs as Named Queries,1,T173,NotStarted,,Mutation procs -> attributes.type=Query,
T175,9,Frontend,Inspection Entry view,8,T174,NotStarted,,Sample against published spec; per-attribute result grid; overall pass/fail; file attach (CSV/XLSX/PDF/PNG/JPG to filesystem + metadata). Pre-declare bound custom props,
T176,9,Frontend,Inspection History read view,4,T174,NotStarted,,Read sample/result history per LOT; attachment download,
T177,9,Testing,Inspection recording test suite,3,T173,NotStarted,,"Sample record, per-attribute results, pass/fail rollup, no-auto-hold. INSERT-EXEC temp-table",
T178,9,StoredProc,Global Trace resolve + full-trace procs,4,T157,NotStarted,,"IN-SCOPE (2026-06-08, G-3a Global Trace): FDS-12-012/013/014 Global Trace Tool is MVP; plan deferred to unscoped workstream. GlobalTrace_Resolve (LOT/Serial/Container/Shipper input -> entity, disambiguation) + GlobalTrace_GetFullTrace (header + genealogy tree + production + movement + holds + shipping). Reads existing event tables - NOT gated on UJ-19. XDEP: Phase 7 gate",
T179,9,NamedQuery,Wrap Global Trace procs as Named Queries,1,T178,NotStarted,,,
T180,9,Frontend,Global Trace Tool view (Track home tile),10,T179,NotStarted,,"Any-context read-only trace surface: input resolution + scan, header, genealogy tree, production, movement, holds, shipping, Print/Export. Primary Honda traceability deliverable (FDS-12-001/012/013/014)",
T181,9,Testing,Global Trace test suite,3,T178,NotStarted,,Resolve disambiguation + full-trace assembly across event tables,
T182,9,Seed,CRT: seed audit event types (Lot.CrtActive shipped in Phase 1),1,,NotStarted,,"IN-SCOPE (2026-06-08, G-2). Lot.CrtActive BIT added to the Phase 1 Lot CREATE (Data Model v1.9q). This task seeds the CRT Audit.LogEventType rows (CrtActivated, CrtCleared, MissedCrtInspect) in the Phase 9 migration.",
T183,9,StoredProc,"CRT workflow procs + UI (200% inspect, missed-inspect re-run, release)",8,T182,NotStarted,,"IN-SCOPE (2026-06-08, G-2). Lot_SetCrt/Lot_ClearCrt (supervisor-elevated) + Crt_GetRequiredInspections 200% gate + missed-inspect detection consumed by production procs + supervisor-AD-elevated clearance. Spans Phase 6 (assembly inspect) + Phase 7 (release). Builds on the QualitySample inspection stream (T172).",
T184,9,Reporting,Reporting workstream - PD-replacement operational reports (DEFERRED),16,,Deferred,,DEFERRED to near/post-deployment per 2026-06-08 decision. Die Shot/Rejects/Downtime/Production reports + Shipping History via Ignition Reporting module over ProductionEvent/RejectEvent/DowntimeEvent/Shift. Gated on UJ-19 (MPP names the 4 PD reports + data sources). NOT the Global Trace Tool - that is in-scope (T178-T181).,
