Id,ProductionOrder,WorkCell,BomComponentID,ProducedPart,ProducedClass,State,IsActive,RequiredQuantity,CompletedQuantity,Customer,ReturnableDunnageCode,TrayQuantity,IsCameraProcessingEnabled,IsScaleProcessingEnabled,RecipeNumber
25,12261-5A2,5A2 Casting 1 Work Cell,123,12261-5A2,5A2 Components,STARTED,0,1000000000.000000,7281.000000,,,NULL,0,0,NULL
27,1226A-5A2-A000,5A2 Assembly 1 Work Cell,99,1226A-5A2 -A000,5A2 Finished Goods,STARTED,1,1000000000.000000,1417467.000000,,,NULL,0,0,NULL
28,12231-5A2,5A2 Casting 1 Work Cell,129,12231-5A2,5A2 Components,STARTED,0,1000000000.000000,7318.000000,,,NULL,0,0,NULL
29,12232-5A2,5A2 Casting 1 Work Cell,131,12232-5A2,5A2 Components,STARTED,0,1000000000.000000,2729.000000,,,NULL,0,0,NULL
32,12233-5A2,5A2 Casting 1 Work Cell,132,12233-5A2,5A2 Components,STARTED,0,1000000000.000000,1259.000000,NULL,NULL,NULL,0,0,NULL
34,12234-5A2,5A2 Casting 1 Work Cell,133,12234-5A2,5A2 Components,STARTED,0,1000000000.000000,51.000000,,,NULL,0,0,NULL
36,12235-5A2,5A2 Casting 1 Work Cell,134,12235-5A2,5A2 Components,STARTED,0,1000000000.000000,5595.000000,,,NULL,0,0,NULL
38,12241-5A2,5A2 Casting 1 Work Cell,137,12241-5A2,5A2 Components,STARTED,0,1000000000.000000,12588.000000,,,NULL,0,0,NULL
40,12243-5A2,5A2 Casting 1 Work Cell,130,12243-5A2,5A2 Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
42,12244-5A2,5A2 Casting 1 Work Cell,135,12244-5A2,5A2 Components,STARTED,0,1000000000.000000,1493.000000,NULL,NULL,NULL,0,0,NULL
44,12245-5A2,5A2 Casting 1 Work Cell,136,12245-5A2,5A2 Components,STARTED,0,1000000000.000000,954.000000,,,NULL,0,0,NULL
46,12246-5A2,5A2 Casting 1 Work Cell,128,12246-5A2,5A2 Components,STARTED,0,1000000000.000000,1060.000000,NULL,NULL,NULL,0,0,NULL
50,12262-5A2,5A2 Casting 1 Work Cell,124,12262-5A2,5A2 Components,STARTED,0,1000000000.000000,5866.000000,,,NULL,0,0,NULL
52,12263-5A2,5A2 Casting 1 Work Cell,125,12263-5A2,5A2 Components,STARTED,0,1000000000.000000,1552.000000,,,NULL,0,0,NULL
54,12264-5A2,5A2 Casting 1 Work Cell,126,12264-5A2,5A2 Components,STARTED,0,1000000000.000000,7811.000000,,,NULL,0,0,NULL
56,12270-5A2,5G0 Casting Work Cell 1,203,12270-5A2,5A2 Components,STARTED,1,1000000000.000000,4804.000000,,,NULL,0,0,NULL
60,12270-5A2-A000 (Fuel Pump),5A2 Assembly 2 Work Cell,192,12270-5A2,5A2 Components,STARTED,1,1000000000.000000,1435701.000000,,,NULL,0,0,NULL
61,1226B-5B0-Y000,5A2 Assembly 1 Work Cell,119,1226B-5B0 -Y000,5A2 Finished Goods,STARTED,0,1000000000.000000,101187.000000,,,NULL,0,0,NULL
62,12265-5A2,5A2 Casting 1 Work Cell,100,12265-5A2,5A2 Components,RELEASED,0,1000000000.000000,4458.000000,,,NULL,0,0,NULL
64,14650-5G0-A000,5G0 Front Assembly Work Cell,198,14650-5G0 -A000,5G0 Finished Goods,STARTED,1,1000000000.000000,1716442.000000,,,NULL,0,0,NULL
65,14660-5G0-A000,5G0 Rear Assembly Work Cell,199,14660-5G0 -A000,5G0 Finished Goods,STARTED,1,1000000000.000000,1701573.000000,,,NULL,0,0,NULL
66,12231-5G0,5G0 Casting Work Cell 1,200,12231-5G0,5G0 Components,STARTED,0,1000000000.000000,808578.000000,,,NULL,0,0,NULL
67,12232-5G0,5G0 Casting Work Cell 1,201,12232-5G0,5G0 Components,STARTED,0,1000000000.000000,1653879.000000,,,NULL,0,0,NULL
68,12233-5G0,5G0 Casting Work Cell 1,202,12233-5G0,5G0 Components,STARTED,0,1000000000.000000,785394.000000,,,NULL,0,0,NULL
69,12231-5G0,5G0 Machining 1 Work Cell,200,12231-5G0,5G0 Components,STARTED,0,1000000000.000000,1634907.000000,,,NULL,0,0,NULL
71,12232-5G0,5G0 Machining 1 Work Cell,201,12232-5G0,5G0 Components,STARTED,0,1000000000.000000,3237574.000000,,,NULL,0,0,NULL
72,12233-5G0,5G0 Machining 1 Work Cell,202,12233-5G0,5G0 Components,STARTED,1,1000000000.000000,22057289.000000,,,NULL,0,0,NULL
73,12270-5A2-A000 (Fuel Pump),5A2 Assembly 2 Work Cell,192,12270-5A2,5A2 Components,STARTED,0,9999999999.000000,25050.000000,NULL,NULL,NULL,0,0,NULL
74,1226A-5A2 - A000,5A2 Line 2 Camholder Assembly Work Cell,99,1226A-5A2 -A000,5A2 Finished Goods,STARTED,1,1000000000.000000,1726275.000000,,,NULL,0,0,NULL
75,12270-5A2-A000 (Fuel Pump),5A2 Line 2 Fuel Pump Assembly Work Cell,192,12270-5A2,5A2 Components,STARTED,1,1000000000.000000,1623360.000000,,,NULL,0,0,NULL
76,12265-RPY,5A2 Casting 1 Work Cell,205,12265-RPY -G000,RPY Components,RELEASED,1,1000000000.000000,1020.000000,,,NULL,0,0,NULL
77,12231-RPY,5A2 Casting 1 Work Cell,206,12231-RPY -G000,RPY Components,STARTED,0,1000000000.000000,1882.000000,,,NULL,0,0,NULL
78,12232-RPY,5A2 Casting 1 Work Cell,207,12232-RPY -G000,RPY Components,STARTED,0,1000000000.000000,2949.000000,,,NULL,0,0,NULL
79,12233-RPY,5A2 Casting 1 Work Cell,209,12233-RPY -G000,RPY Components,STARTED,0,1000000000.000000,2144.000000,,,NULL,0,0,NULL
80,12234-RPY,5A2 Casting 1 Work Cell,212,12234-RPY -G000,RPY Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
81,12235-RPY,5A2 Casting 1 Work Cell,214,12235-RPY -G000,RPY Components,STARTED,0,1000000000.000000,11378.000000,,,NULL,0,0,NULL
82,12241-RPY,5A2 Casting 1 Work Cell,225,12241-RPY -G000,RPY Components,STARTED,0,1000000000.000000,20231.000000,,,NULL,0,0,NULL
83,12242-RPY,5A2 Casting 1 Work Cell,224,12242-RPY -G000,RPY Components,STARTED,0,1000000000.000000,7930.000000,,,NULL,0,0,NULL
84,12243-RPY,5A2 Casting 1 Work Cell,223,12243-RPY -G000,RPY Components,STARTED,0,1000000000.000000,10768.000000,,,NULL,0,0,NULL
85,12244-RPY,5A2 Casting 1 Work Cell,222,12244-RPY -G000,RPY Components,STARTED,0,1000000000.000000,4976.000000,,,NULL,0,0,NULL
86,12245-RPY,5A2 Casting 1 Work Cell,221,12245-RPY -G000,RPY Components,STARTED,0,1000000000.000000,1764.000000,,,NULL,0,0,NULL
87,12261-RPY,5A2 Casting 1 Work Cell,219,12261-RPY -G000,RPY Components,STARTED,0,1000000000.000000,2954.000000,,,NULL,0,0,NULL
88,12262-RPY,5A2 Casting 1 Work Cell,218,12262-RPY -G000,RPY Components,STARTED,0,1000000000.000000,2194.000000,,,NULL,0,0,NULL
89,12263-RPY,5A2 Casting 1 Work Cell,217,12263-RPY -G000,RPY Components,STARTED,0,1000000000.000000,3312.000000,,,NULL,0,0,NULL
90,12264-RPY,5A2 Casting 1 Work Cell,226,12264-RPY -G000,RPY Components,STARTED,0,1000000000.000000,3237.000000,,,NULL,0,0,NULL
91,12270-RPY- G000 (Fuel Pump),RPY Line 1 Fuel Pump Assembly 1 Work Cell,252,12270-RPY -G001,RPY Finished Goods,STARTED,0,1000000000.000000,93626.000000,NULL,NULL,NULL,0,0,NULL
92,1223A-RPY -G000,RPY Line 1 Set Assembly Work Cell,248,1223A-RPY -G000,RPY Finished Goods,STARTED,1,1000000000.000000,193556.000000,,,2,1,0,1
93,12246-RPY,5A2 Casting 1 Work Cell,220,12246-RPY -G000,RPY Components,STARTED,0,1000000000.000000,500.000000,,,NULL,0,0,NULL
94,12271-RPY,5A2 Casting 1 Work Cell,213,12271-RPY -G000,RPY Components,STARTED,0,1000000000.000000,4173.000000,,,NULL,0,0,NULL
95,12272-RPY,5A2 Casting 1 Work Cell,211,12272-RPY -G000,RPY Components,STARTED,0,1000000000.000000,3719.000000,,,NULL,0,0,NULL
96,12273-RPY,5A2 Casting 1 Work Cell,210,12273-RPY -G000,RPY Components,STARTED,0,1000000000.000000,7892.000000,,,NULL,0,0,NULL
97,12274-RPY,5A2 Casting 1 Work Cell,208,12274-RPY -G000,RPY Components,STARTED,0,1000000000.000000,3500.000000,,,NULL,0,0,NULL
98,12270-RPY,5A2 Casting 1 Work Cell,227,12270-RPY,RPY Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
99,1223A-5BA -A000,RPY Line 1 Set Assembly Work Cell,273,1223A-5BA -A000,RPY Finished Goods,STARTED,0,1000000000.000000,2029854.000000,,,2,1,0,2
100,12270-5BA -A000 (Side Cover),RPY Line 1 Fuel Pump Assembly 1 Work Cell,277,12270-5BA -A000,RPY Finished Goods,STARTED,1,1000000000.000000,1544900.000000,HCMEC,?????,NULL,0,1,NULL
101,12270-59B,5A2 Casting 1 Work Cell,280,12270-59B,59B Components,STARTED,0,1000000000.000000,1228.000000,,,NULL,0,0,NULL
102,12270-59B -0000 (Fuel Pump),59B Line 1 Fuel Pump Assembly 1 Work Cell,283,12270-59B -0000A,59B Finished Goods,STARTED,0,1000000000.000000,669566.000000,HONDA,????,NULL,0,1,NULL
103,12270-5BAA  (Side Cover),5A2 Casting 1 Work Cell,285,12270-5BAA,RPY Components,STARTED,0,1000000000.000000,568.000000,,,NULL,0,0,NULL
104,12265-5BA,5A2 Casting 1 Work Cell,215,12265-5BA -A000,RPY Components,STARTED,0,1000000000.000000,1288.000000,,,NULL,0,0,NULL
105,12270-59B,RPY Line 1 Fuel Pump/5BA Side Cover Machining Work Cell,280,12270-59B,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
106,12270-5BAA,RPY Line 1 Fuel Pump/5BA Side Cover Machining Work Cell,285,12270-5BAA,RPY Components,STARTED,1,1000000000.000000,287.000000,,,NULL,0,0,NULL
107,1120A-5AA -A000,DO NOT USE - 5K8 Assembly Work Cell,334,1120A-5AA -A010,5K8 Finished Goods,STARTED,1,1000000000.000000,415500.000000,HONDA,HR8D1663,60,1,0,1
108,11200-5K8-0000 (Oil Pan),5K8 Machining Work Cell,300,11200-5K8,5K8 Components,STARTED,1,1000000000.000000,476.000000,,,NULL,0,0,NULL
109,1223A-59B-A000 (Cam-Rocker Holder Set),59B Cam Holder Assembly Work Cell,316,1223A-59B -A0002,59B Finished Goods,STARTED,1,1000000000.000000,203520.000000,HONDA,SF 500,2,1,0,1
111,12270-5BA -A000 (Side Cover),RPY Line 1 Fuel Pump Assembly 1 Work Cell,277,12270-5BA -A000,RPY Finished Goods,STARTED,0,1000000000.000000,199662.000000,HONDA,?????,NULL,0,1,NULL
112,12270-5PA -A000 (Fuel Pump),59B Line 1 Fuel Pump Assembly 1 Work Cell,357,12270-5PA -A0001,5PA Finished Goods,STARTED,0,1000000000.000000,1605324.000000,HONDA,????,NULL,0,1,NULL
113,12270-5PA,RPY Line 1 Fuel Pump/5BA Side Cover Machining Work Cell,360,12270-5PA,5PA Components,STARTED,0,1000000000.000000,868.000000,,,NULL,0,0,NULL
114,1120A-5PA -A000,5PA Oil Pan Assembly Work Cell,366,1120A-5PA -A010,5PA Finished Goods,STARTED,1,1000000000.000000,1984440.000000,HONDA,HR8D1663,60,1,0,1
115,1120A-5PA-A000 (Oil Pan),5K8 Machining Work Cell,364,1120A-5PA,5PA Components,SUSPENDED,0,1000000000.000000,422.000000,,,NULL,0,0,NULL
116,12231-59B,5A2 Casting 1 Work Cell,328,12231-59B-0000,59B Components,STARTED,0,1000000000.000000,13372.000000,,,NULL,0,0,NULL
117,12232-59B,5A2 Casting 1 Work Cell,329,12232-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
118,12233-59B,5A2 Casting 1 Work Cell,330,12233-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
119,12234-59B,5A2 Casting 1 Work Cell,331,12234-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
120,12235-59B,5A2 Casting 1 Work Cell,332,12235-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
121,12241-59B,5A2 Casting 1 Work Cell,390,12241-59B-0000,59B Components,STARTED,0,1000000000.000000,3676.000000,,,NULL,0,0,NULL
122,12242-59B,5A2 Casting 1 Work Cell,391,12242-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
123,12243-59B,5A2 Casting 1 Work Cell,392,12243-59B-0000,59B Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
124,12244-59B,5A2 Casting 1 Work Cell,393,12244-59B-0000,59B Components,STARTED,0,1000000000.000000,7937.000000,,,NULL,0,0,NULL
125,12245-59B,5A2 Casting 1 Work Cell,394,12245-59B-0000,59B Components,STARTED,0,1000000000.000000,4700.000000,,,NULL,0,0,NULL
126,1223A-59B-A000 (Cam-Rocker Holder Set),59B Line 2 Cam Holder Assembly Work Cell,381,1223A-59B -A0002,59B Finished Goods,STARTED,1,1000000000.000000,2272462.000000,HONDA,????,2,1,0,1
127,*1223A-59B-A000 (Cam-Rocker Holder Set),59B Cam Holder Assembly Work Cell,381,1223A-59B -A0002,59B Finished Goods,STARTED,0,1000000000.000000,0.000000,HONDA,????,2,1,0,1
128,12270-5PA,5PA Fuel Pump Line 2 Machining Work Cell,360,12270-5PA,5PA Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
129,1120A-5PA (Oil Pan),5PA Fuel Pump Line 2 Machining Work Cell,364,1120A-5PA,5PA Components,SUSPENDED,0,1000000000.000000,160.000000,NULL,NULL,NULL,0,0,NULL
130,*1223A-59B-A000 (Cam-Rocker Holder Set),59B Line 2 Cam Holder Assembly Work Cell,381,1223A-59B -A0002,59B Finished Goods,STARTED,0,1000000000.000000,0.000000,HONDA,????,2,1,0,1
131,12270-5PA,5A2 Casting 1 Work Cell,360,12270-5PA,5PA Components,STARTED,0,1000000000.000000,472.000000,,,NULL,0,0,NULL
132,1223A-RPY -G000 1223A-RPY -G000 (RPY Manual),RPY 6B2 Camholder Assembly Work Cell,248,1223A-RPY -G000,RPY Finished Goods,STARTED,0,1000000000.000000,137330.000000,,,2,1,0,2
133,12270-6B2- A010 (Fuel Pump) - 10 parts,6B2 Fuel Pump Assembly Work Cell,448,12270-6B2 -A000B,6B2 Finished Goods,STARTED,1,1000000000.000000,685721.000000,NULL,NULL,NULL,0,0,NULL
134,12270-RPY- G000 (Fuel Pump),6B2 Fuel Pump Assembly Work Cell,252,12270-RPY -G001,RPY Finished Goods,STARTED,0,1000000000.000000,154950.000000,NULL,NULL,NULL,0,0,NULL
135,12270-5PA- A000,5PA Fuel Pump Assembly Work Cell,357,12270-5PA -A0001,5PA Finished Goods,SUSPENDED,0,1000000000.000000,1922436.000000,NULL,NULL,NULL,0,1,NULL
137,12265-6B2,5A2 Casting 1 Work Cell,477,12265-6B2 -A000,RPY Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
138,12270-6B2,5A2 Casting 1 Work Cell,446,12270-6B2,6B2 Components,STARTED,0,1000000000.000000,2244.000000,,,NULL,0,0,NULL
139,1223A-6B2- A000,RPY 6B2 Camholder Assembly Work Cell,460,1223A-6B2- A000,RPY Finished Goods,STARTED,0,1000000000.000000,714960.000000,HONDA,????,2,1,0,1
140,12270-5PA,5PA Fuel Pump Line 3 Machining Work Cell,360,12270-5PA,5PA Components,STARTED,0,1000000000.000000,0.000000,NULL,NULL,NULL,0,0,NULL
141,1120A-6C2 -A000,6C2/6MA Oil Pan Assembly Work Cell,507,1120A-6C2 -A000,6C2/6MA Finished Goods,STARTED,0,1000000000.000000,267000.000000,,,NULL,0,0,NULL
